orderID,address,subject_city_province_zip,effective_date,municipality_district,site_dimensions,lot_size_sf,units_sq_ft,year_built,structure_type,roofing,effective_age,style,construction,remaining_economic_life,windows,basement,exterior_finish,basement_area,foundation_walls,flooring,plumbing_lines,heating,fuel_type,water_heater,cooling,room_count,num_beds,room_total,main_lvl_area,second_lvl_area,third_lvl_area,gla,subject_age,num_baths,condition
4762406,164 Redmonds Rd Seabright NS B3Z3C4,Seabright NS B3Z3C4,Apr/17/2025,Halifax Regional Municipality - Seabright,See Schedule A and or Plot Map,42495 SqFt,SqFt,2024,Detached,Metal,1,1.5 Storey,Wood,59,"Vinyl, Wood",Full/Part Finished,Siding,2137,Poured Concrete,Laminate,"Copper, PEX, ABS",2 ducted heat pumps and Radiant,Electric,Electric,Heat Pump,9,5,10,2371.63,960.91,,3332+/-SqFt,1,2:1,Excellent
4761220,11 Bashir St Maple ON L6A3A3,Maple ON L6A3A3,Apr/14/2025,"Region of York, City of Vaughan",24.96' x 104.92',2619 SqFt,SqFt,2000,Semi Detached,Asphalt/Fiberglass Shingle,20,2 Storey,Wood,40,PVC,Finished-illegal apartment,Brick Veneer/Vinyl Siding,809,Concrete,Hardwood,Copper,Forced Air,Natural Gas,Natural Gas,Central Air,7,3,7,809,716,,1525 SqFt,25,3:1,Average
4761433,1368 Shore Dr Bedford NS B4A2E8,Bedford NS B4A2E8,Apr/15/2025,Halifax Regional Municipality - Bedford,Unknown,26700 SqFt,SqFt,1982,Detached,Asphalt Shingle,15,1 Storey,Wood,45,Wood,Full/Finished,Wood,1000+/-,Poured Concrete,Ceramic,"Copper, PEX, ABS",Geothermal,Ground Source,Electric,Heat Pump,9,4,10,2740,155,,2895 SqFt,43+/-yrs,2:2,Average
4761446,5004 Fox Run Pl Kingston ON K7P0E4,Kingston ON K7P0E4,Apr/10/2025,Kingston,61.29' x Irregular,"5,663 SqFt",SqFt,2010,Detached,Asphalt Shingle,5,Bungalow,Wood Frame,60,Vinyl,Full/Unfinished,"Brick Veneer, Vinyl Siding","1,678",Poured Concrete,"Hardwood, ceramic, laminate, carpet, vinyl","Copper, PEX, ABS",Forced Air,Natural Gas,40 Gallon - Gas,Central Air,7,3,7,"1,678",,,"1,678 SqFt",15,2:0,Average
4759647,201 Halfway Lake Dr Hammonds Plains NS B4B1M8,Hammonds Plains NS B4B1M8,Apr/10/2025,Halifax Regional Municipality - Hammonds Plains,See Schedule A and or Plot Map,33943+/-SqFt,SqFt,1982,Detached,Asphalt Shingle,12,2 Storey,Wood,48,Combination,Full/Finished,Hardboard/Fibre cement,819,Poured Concrete,Vinyl Plank,"Copper, PEX, ABS","Baseboard, Some Infloor",Electric,Electric,None,8,4,9,950,1314,,2264 SqFt,43+/-yrs,2:1,Good
4759723,5 Golflinks Dr Ottawa ON K2J 4X9,Ottawa ON K2J 4X9,Apr/09/2025,"Stonebridge, City of Ottawa",50.00 x 119.75,5987 SqFt,SqFt,2002,Detached,Asphalt/Fiberglass Shingle,10,2 strorey,Wood,60,Vinyl,Full/Finished,"Stone, siding",1200 +/-,poured concrete,"hardwood, ceramic, carpet",PEX/PVC,Forced Air,Natural Gas,Natural Gas,Central Air,8,3,9,,,,2530 SqFt,2002,3:1,Good
4760530,3435 Vandorf Siderd Stouffville ON L4A4H5,Stouffville ON L4A4H5,Apr/14/2025,"Region of York, Town of Whitchurch-Stouffville",325.95' x IRR,10.057 Acres,Acres,1968,Detached,Metal,15,Bungalow Raised,Wood/Concrete,45,PVC,Full Finished/Walkout,Brick Veneer/Vinyl Siding,2149,Concrete,Hardwood,Copper/PVC,Geothermal,Propane,Propane,Central Air,7,4,7,2149,,,2149 SqFt,57,3:1,Average
4760630,118 Colborne St Kingston ON K7K 1C9,Kingston ON K7K 1C9,Apr/10/2025,Kingston,24.66 x 84.03,1742 SqFt,SqFt,1890,Townhouse,Metal,20,2.5 Storey,Wood,50,Vinyl,Cellar,"Brick Veneer, Vinyl Siding",500,Stone,"hardwood, laminate",ABS/Copper/Pex,Forced Air,Natural Gas,40 Gallon - Gas,Central Air,8,4,8,770,770,300,1840 SqFt,135,1:0,Average
4760651,92 Armcrest Dr Lower Sackville NS B4C3Z9,Lower Sackville NS B4C3Z9,Apr/15/2025,Halifax Regional Municipality - Lower Sackville,See Schedule A and or Plot Map,3250 SqFt,SqFt,1993,Detached,Metal,10,2 Storey,Wood,50,Vinyl,Full/Finished,Vinyl,677,Poured Concrete,Linoleum,"Copper, PEX, ABS",Electric Baseboard,Electric,Electric,Ductless mini split,6,3,6,677,677,,1354 SqFt,32,1:1,Average
4760900,1083 Cornerstone St NE Calgary AB T3N1G5,Calgary AB T3N1G5,Apr/10/2025,"Calgary, AB / Cornerstone",13.25m x33.99m,377 SqM,SqM,2016,Detached,Asphalt,9,2 Storey,Wood,54,Vinyl,Full/Finished,Vinyl,800,Concrete,Vinyl,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,None,7,3,7,,,,1573.40 SqFt,2016,2F 1H,Good
